source,scrape_date,title,description,price_min,price_max,price_currency,seller_name,location,product_url,image_urls
indiamart,2025-10-23T06:12:10.387388,,,,,,,,https://my.indiamart.com/buyertools/myproductbuy,[]
indiamart,2025-10-23T06:16:28.070646,,,,,,,,https://my.indiamart.com/buyertools/myproductbuy,[]
indiamart,2025-10-23T06:17:53.915123,Electric Soldering Iron,,,,,,,https://www.indiamart.com/proddetail/electric-soldering-iron-2850385861988.html?pos=1&kwd=soldering iron&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:420|ri:T_B_0_P-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:thane|qr_nm:gl-gd|cs:17870|com-cf:nl|ptrs:na|mc:19308|cat:846|qry_typ:P|lang:en|tyr:2|qrd:251021|mrd:251001|prdt:251023|msf:ms|pfen:1|gli:G1I2|gc:Mumbai|ic:Pune|scw:1|v=4|r=4,"['https://5.imimg.com/data5/SELLER/Logo/2024/1/376068195/OX/JN/ZL/27520712/shree-logo-90x90.jpg', 'https://5.imimg.com/data5/SELLER/Default/2023/2/SB/OF/NJ/27520712/electric-soldering-iron-1-1000x1000.jpg', 'https://5.imimg.com/data5/SELLER/Default/2023/2/SB/OF/NJ/27520712/electric-soldering-iron-1-1000x1000.jpg', 'https://5.imimg.com/data5/GLADMIN/Default/2023/3/AQ/VJ/YV/27520712/electric-soldering-iron-1000x1000.jpg', 'https://5.imimg.com/data5/GLADMIN/Default/2023/3/OR/DZ/DP/27520712/electric-soldering-iron-1000x1000.jpg', 'https://5.imimg.com/data5/GLADMIN/Default/2023/3/EQ/FT/AV/27520712/electric-soldering-iron-1000x1000.jpg', 'https://5.imimg.com/data5/GLADMIN/Default/2023/3/JB/AT/HP/27520712/electric-soldering-iron-1000x1000.jpg', 'https://5.imimg.com/data5/GLADMIN/Default/2023/3/QL/UH/QF/27520712/electric-soldering-iron-1000x1000.jpg', 'https://5.imimg.com/data5/GLADMIN/Default/2023/3/PJ/ZK/HF/27520712/electric-soldering-iron-1000x1000.jpg', 'https://5.imimg.com/data5/GLADMIN/Default/2023/3/ZU/VY/HU/27520712/electric-soldering-iron-1000x1000.jpg', 'https://5.imimg.com/data5/GLADMIN/Default/2023/3/YW/MH/HL/27520712/electric-soldering-iron-1000x1000.jpg', 'https://5.imimg.com/data5/SELLER/Default/2023/2/DW/HN/DO/27520712/electric-soldering-iron-2-1000x1000.jpg']"
indiamart,2025-10-23T06:17:56.760210,"J-TRON 35 Watts soldering iron., 30W, 400",,,,,,,https://www.indiamart.com/proddetail/35-watts-soldering-iron-22587822062.html?pos=2&kwd=soldering iron&tags=rk:A|plc:1|dt:19|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:240|ri:T_A_50_P-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:thane|qr_nm:gl-gd|cs:17870|com-cf:nl|ptrs:na|mc:19308|cat:846|qry_typ:P|lang:en|tyr:2|qrd:251021|mrd:251001|prdt:251023|msf:ms|pfen:1|gli:G1I2|gc:Mumbai|ic:Pune|scw:1|v=4|r=3,"['https://5.imimg.com/data5/FE/SL/MY-10668346/hi-techonology-90x90.jpg', 'https://5.imimg.com/data5/SELLER/Default/2020/9/CQ/QR/BF/10668346/dscn6005-1000x1000.jpg']"
indiamart,2025-10-23T06:17:58.575535,Soldron 30W 35 Watts soldering iron 230 V Soldering Iron,,,,,,,https://www.indiamart.com/proddetail/35-watts-soldering-iron-230-v-soldering-iron-2853473285330.html?pos=3&kwd=soldering iron&tags=rk:A|plc:1|dt:19|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:325|ri:T_A_50_P-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:thane|qr_nm:gl-gd|cs:17870|com-cf:nl|ptrs:na|mc:19308|cat:846|qry_typ:P|lang:en|tyr:2|qrd:251021|mrd:251001|prdt:251023|msf:ms|pfen:1|gli:G1I2|gc:Mumbai|ic:Pune|scw:1|v=4|r=4,"['https://5.imimg.com/data5/SS/FX/PU/SELLER-41932583/screenshot-2019-02-25-13-06-28-90x90.png', 'https://5.imimg.com/data5/SELLER/Default/2024/9/451489041/IC/ND/CL/41932583/soldron-35-watts-230-volts-soldering-iron-1000x1000.webp', 'https://5.imimg.com/data5/SELLER/Default/2024/9/451489041/IC/ND/CL/41932583/soldron-35-watts-230-volts-soldering-iron-1000x1000.webp', 'https://5.imimg.com/data5/SELLER/Default/2024/9/451490110/WQ/AT/ZG/41932583/35-watts-soldering-iron-230-v-soldering-iron-1000x1000.png', 'https://5.imimg.com/data5/SELLER/Default/2024/9/451488603/PF/EO/CX/41932583/soldron-35-watts-230-volts-soldering-iron-1000x1000.jpg', 'https://5.imimg.com/data5/SELLER/Default/2024/2/391283239/OB/IJ/VB/41932583/soldron-35-watts-230-volts-soldering-iron-1000x1000.jpg']"
indiamart,2025-10-23T06:17:59.735311,"Soldering Iron SE, 480 Degree C, 60W",,,,,,,https://www.indiamart.com/proddetail/soldering-iron-se-14239632991.html?pos=4&kwd=soldering iron&tags=rk:A|plc:1|dt:24|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:1200|ri:T_A_50_P-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:thane|qr_nm:gl-gd|cs:17870|com-cf:nl|ptrs:na|mc:19308|cat:846|qry_typ:P|lang:en|tyr:2|qrd:251021|mrd:251001|prdt:251023|msf:ms|pfen:1|gli:G1I2|gc:Mumbai|ic:Pune|scw:1|v=4|r=3,"['https://5.imimg.com/data5/JK/VJ/MY-2988196/shreesai-enterprises-90x90.jpg', 'https://5.imimg.com/data5/SELLER/Default/2022/12/RX/FP/JC/2988196/soldering-iron-se-1000x1000.jpg', 'https://5.imimg.com/data5/SELLER/Default/2022/12/RX/FP/JC/2988196/soldering-iron-se-1000x1000.jpg', 'https://5.imimg.com/data5/SELLER/Default/2022/12/CX/BR/AU/2988196/soldering-iron-se-1000x1000.jpg', 'https://5.imimg.com/data5/SELLER/Default/2022/12/SK/OI/GV/2988196/soldering-iron-se-1000x1000.jpg']"
indiamart,2025-10-23T06:18:01.094848,"WELLER WEP70 SOLDERING IRON, 70 W",,,,,,,https://www.indiamart.com/proddetail/wep70-soldering-iron-24418402312.html?pos=5&kwd=soldering iron&tags=rk:A|plc:1|dt:29|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:7800|ri:T_A_50_P-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:thane|qr_nm:gl-gd|cs:17870|com-cf:nl|ptrs:na|mc:19308|cat:846|qry_typ:P|lang:en|tyr:2|qrd:251021|mrd:251001|prdt:251023|msf:ms|pfen:1|gli:G1I2|gc:Mumbai|ic:Pune|scw:1|v=4|r=4,"['https://5.imimg.com/data5/QF/TC/YL/SELLER-10335107/logo-image-90x90.jpg', 'https://5.imimg.com/data5/SELLER/Default/2023/6/314791524/UP/QU/CL/10335107/1-1000x1000.jpg']"
indiamart,2025-10-23T06:18:02.825194,"SOLDMAX SOLDERING IRON 25W 35W 50W 60W, 30W",,,,,,,https://www.indiamart.com/proddetail/25-w-soldering-iron-25993571630.html?pos=6&kwd=soldering iron&tags=rk:A|plc:1|dt:16|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:250|ri:T_A_50_P-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:thane|qr_nm:gl-gd|cs:17870|com-cf:nl|ptrs:na|mc:19308|cat:846|qry_typ:P|lang:en|tyr:2|qrd:251021|mrd:251001|prdt:251023|msf:ms|pfen:1|gli:G1I2|gc:Mumbai|ic:Pune|scw:1|v=4|r=4,"['https://5.imimg.com/data5/SELLER/Logo/2024/8/444256939/HM/IR/KA/22089713/logo-90x90.jpg', 'https://5.imimg.com/data5/SELLER/Default/2022/6/MG/NU/SL/22089713/pic1-1000x1000.jpg', 'https://5.imimg.com/data5/SELLER/Default/2022/6/MG/NU/SL/22089713/pic1-1000x1000.jpg', 'https://5.imimg.com/data5/SELLER/Default/2022/6/ZV/QS/ZQ/22089713/pic3-1000x1000.jpg', 'https://5.imimg.com/data5/SELLER/Default/2022/6/LU/JR/FO/22089713/pic2-1000x1000.jpg', 'https://5.imimg.com/data5/SELLER/Default/2022/6/AO/BY/QO/22089713/pic4-1000x1000.jpg']"
indiamart,2025-10-23T06:18:04.064223,"Goot Soldering Iron, 30 W, 30W",,,,,,,https://www.indiamart.com/proddetail/goot-soldering-iron-2851878020697.html?pos=7&kwd=soldering iron&tags=rk:A||dt:19|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:850|ri:T_A_50_NP-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:thane|qr_nm:gl-gd|cs:17870|com-cf:nl|ptrs:na|mc:19308|cat:846|qry_typ:P|lang:en|tyr:2|qrd:251021|mrd:251001|prdt:251023|msf:ms|pfen:1|gli:G1I2|gc:Mumbai|ic:Pune|scw:1|v=4|r=3,"['https://5.imimg.com/data5/SELLER/Logo/2024/7/434877029/WL/FA/DT/5889707/screenshot-2024-07-15-130148-90x90.png', 'https://5.imimg.com/data5/ANDROID/Default/2023/7/329656666/IZ/IH/KG/5889707/product-jpeg-1000x1000.jpg']"
indiamart,2025-10-23T06:18:05.238011,"Digital Soldering Iron, 75W",,,,,,,https://www.indiamart.com/proddetail/digital-soldering-iron-2854946577148.html?pos=8&kwd=soldering iron&tags=rk:A|plc:1|dt:19|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:1700|ri:T_A_50_P-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:thane|qr_nm:gl-gd|cs:17870|com-cf:nl|ptrs:na|mc:19308|cat:846|qry_typ:P|lang:en|tyr:2|qrd:251021|mrd:251001|prdt:251023|msf:ms|pfen:1|gli:G1I2|gc:Mumbai|ic:Pune|scw:1|v=4|r=4,"['https://5.imimg.com/data5/SELLER/Logo/2021/1/XS/QF/XG/637767/param-logo-90x90.png', 'https://5.imimg.com/data5/SELLER/Default/2025/2/489897395/UW/RF/RF/637767/digital-soldering-iron-1000x1000.png', 'https://5.imimg.com/data5/SELLER/Default/2025/2/489897395/UW/RF/RF/637767/digital-soldering-iron-1000x1000.png', 'https://5.imimg.com/data5/SELLER/Default/2024/10/459329737/ZK/OF/CR/637767/soldron-soldering-iron-1000x1000.png', 'https://5.imimg.com/data5/IOS/Default/2024/9/452633529/YE/MY/FT/637767/product-jpeg-1000x1000.png']"
